Gene name;Type;Animal_db;Cis_bp;Tf_class_id;GTRD_uniprot_id;Function;Specie
ceh-24;TF;WBGene00000447;T224612_2.00;unmatched;Q9NLC2;;Caenorhabditis elegans
lin-48;TF;WBGene00003033;T131560_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-272;TF;WBGene00011565;T306289_2.00;unmatched;unmatched;;Caenorhabditis elegans
lim-4;TF;WBGene00002987;T224628_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-267;TF;WBGene00010410;T306275_2.00;unmatched;unmatched;;Caenorhabditis elegans
hlh-31;TF;WBGene00009540;T046303_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-253;TF;WBGene00022639;T306388_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-76;TF;WBGene00022395;T224675_2.00;unmatched;unmatched;;Caenorhabditis elegans
Y67D8B.2;TF;WBGene00022062;unmatched;unmatched;unmatched;;Caenorhabditis elegans
nhr-222;TF;WBGene00020750;T306371_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-111;TF;WBGene00003701;T306223_2.00;unmatched;O45521;;Caenorhabditis elegans
elt-7;TF;WBGene00015981;T195711_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-227;TF;WBGene00020851;T306374_2.00;unmatched;unmatched;;Caenorhabditis elegans
bed-3;TF;WBGene00009133;T027895_2.00;unmatched;Q19787;;Caenorhabditis elegans
sdc-1;TF;WBGene00004745;T131570_2.00;unmatched;unmatched;;Caenorhabditis elegans
swsn-3;TF;WBGene00022182;T333280_2.00;unmatched;unmatched;;Caenorhabditis elegans
C41D11.3;TF;WBGene00016562;unmatched;unmatched;unmatched;;Caenorhabditis elegans
nhr-163;TF;WBGene00016368;T306329_2.00;unmatched;unmatched;;Caenorhabditis elegans
lin-32;TF;WBGene00003018;T046294_2.00;unmatched;Q10574;;Caenorhabditis elegans
nhr-79;TF;WBGene00003669;T306192_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-223;TF;WBGene00012050;T306295_2.00;unmatched;unmatched;;Caenorhabditis elegans
ztf-15;TF;WBGene00011066;T131593_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-107;TF;WBGene00003697;T306219_2.00;unmatched;unmatched;;Caenorhabditis elegans
efl-3;TF;WBGene00009899;T173582_2.00;unmatched;Q20619;;Caenorhabditis elegans
nhr-225;TF;WBGene00020849;T306372_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-172;TF;WBGene00016927;T306334_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-281;TF;WBGene00008884;T306269_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-37;TF;WBGene00018412;T306346_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-234;TF;WBGene00012596;T306300_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-8;TF;WBGene00000433;T224600_2.00;unmatched;Q94398;;Caenorhabditis elegans
ceh-41;TF;WBGene00000462;T224623_2.00;unmatched;unmatched;;Caenorhabditis elegans
lst-5;TF;WBGene00016890;T131621_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-22;TF;WBGene00003621;T306146_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-90;TF;WBGene00010995;T224657_2.00;unmatched;Q69YW8;;Caenorhabditis elegans
tbx-11;TF;WBGene00006547;T340937_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-126;TF;WBGene00003716;T306238_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-154;TF;WBGene00007547;T306257_2.00;unmatched;unmatched;;Caenorhabditis elegans
egl-27;TF;WBGene00001194;T195700_2.00;unmatched;Q09228;;Caenorhabditis elegans
swsn-1;TF;WBGene00004203;unmatched;unmatched;unmatched;;Caenorhabditis elegans
sptf-3;TF;WBGene00012735;T131606_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-58;TF;WBGene00007417;T224651_2.00;unmatched;unmatched;;Caenorhabditis elegans
hlh-4;TF;WBGene00001951;T046275_2.00;unmatched;P34555;;Caenorhabditis elegans
mls-2;TF;WBGene00003377;T224635_2.00;unmatched;Q18533;;Caenorhabditis elegans
nhr-265;TF;WBGene00009608;T306271_2.00;unmatched;unmatched;;Caenorhabditis elegans
npax-3;TF;WBGene00011257;T312111_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-49;TF;WBGene00003639;T306163_2.00;unmatched;unmatched;;Caenorhabditis elegans
Y67H2A.10;TF;WBGene00013465;unmatched;unmatched;unmatched;;Caenorhabditis elegans
dnj-11;TF;WBGene00001029;unmatched;unmatched;unmatched;;Caenorhabditis elegans
nhr-162;TF;WBGene00016367;T306328_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-181;TF;WBGene00018189;T306342_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-261;TF;WBGene00016777;T306332_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-11;TF;WBGene00003610;T306135_2.00;unmatched;Q23294;;Caenorhabditis elegans
dmd-7;TF;WBGene00019521;T169438_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-99;TF;WBGene00003689;T306211_2.00;unmatched;unmatched;;Caenorhabditis elegans
tbx-30;TF;WBGene00006549;T340938_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-2;TF;WBGene00000429;T224597_2.00;unmatched;G5ECT8;;Caenorhabditis elegans
ceh-21;TF;WBGene00000444;T167387_2.00;unmatched;unmatched;;Caenorhabditis elegans
tbx-31;TF;WBGene00006550;T340939_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-70;TF;WBGene00003660;T306184_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-75;TF;WBGene00008242;T224655_2.00;unmatched;unmatched;;Caenorhabditis elegans
tbx-40;TF;WBGene00006559;T340948_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-6;TF;WBGene00000431;T238865_2.00;unmatched;P20268;;Caenorhabditis elegans
hlh-33;TF;WBGene00021446;T046307_2.00;unmatched;unmatched;;Caenorhabditis elegans
myrf-1;TF;WBGene00004134;T300151_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-147;TF;WBGene00015395;T306311_2.00;unmatched;unmatched;;Caenorhabditis elegans
Y48G9A.11;TF;WBGene00021704;T131640_2.00;unmatched;unmatched;;Caenorhabditis elegans
dpr-1;TF;WBGene00001062;T306123_2.00;unmatched;unmatched;;Caenorhabditis elegans
unc-86;TF;WBGene00006818;T238867_2.00;unmatched;P13528;;Caenorhabditis elegans
ccch-2;TF;WBGene00009537;unmatched;unmatched;unmatched;;Caenorhabditis elegans
nhr-86;TF;WBGene00003676;T306199_2.00;unmatched;Q965W2;;Caenorhabditis elegans
nhr-229;TF;WBGene00013795;T306305_2.00;unmatched;unmatched;;Caenorhabditis elegans
tub-1;TF;WBGene00006655;unmatched;unmatched;unmatched;;Caenorhabditis elegans
odd-2;TF;WBGene00003846;T131565_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-92;TF;WBGene00003682;T306205_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-26;TF;WBGene00011568;T306292_2.00;unmatched;unmatched;;Caenorhabditis elegans
gei-17;TF;WBGene00001574;unmatched;unmatched;Q94361;;Caenorhabditis elegans
tbx-33;TF;WBGene00006552;T340941_2.00;unmatched;unmatched;;Caenorhabditis elegans
fkh-2;TF;WBGene00001434;T188800_2.00;unmatched;Q95QA9;;Caenorhabditis elegans
nhr-275;TF;WBGene00021163;T306376_2.00;unmatched;unmatched;;Caenorhabditis elegans
dmd-3;TF;WBGene00012832;T169436_2.00;unmatched;unmatched;;Caenorhabditis elegans
zfp-2;TF;WBGene00009448;T131582_2.00;unmatched;Q20082;;Caenorhabditis elegans
Y55F3AM.14;TF;WBGene00021931;T131642_2.00;unmatched;Q9N360;;Caenorhabditis elegans
hlh-16;TF;WBGene00001960;T046284_2.00;unmatched;unmatched;;Caenorhabditis elegans
ngn-1;TF;WBGene00003595;T046300_2.00;unmatched;unmatched;;Caenorhabditis elegans
end-3;TF;WBGene00001311;T195707_2.00;unmatched;unmatched;;Caenorhabditis elegans
ztf-16;TF;WBGene00019960;T131635_2.00;unmatched;H2L008;;Caenorhabditis elegans
Y37D8A.26;TF;WBGene00012561;unmatched;unmatched;unmatched;;Caenorhabditis elegans
nhr-90;TF;WBGene00003680;T306203_2.00;unmatched;O17025;;Caenorhabditis elegans
nhr-52;TF;WBGene00003642;T306166_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-10;TF;WBGene00000435;T224602_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-189;TF;WBGene00018545;T306353_2.00;unmatched;unmatched;;Caenorhabditis elegans
B0348.2;TF;WBGene00015152;unmatched;unmatched;unmatched;;Caenorhabditis elegans
vab-7;TF;WBGene00006873;T224648_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-199;TF;WBGene00010604;T306280_2.00;unmatched;unmatched;;Caenorhabditis elegans
cnd-1;TF;WBGene00000561;T046271_2.00;unmatched;P46581;;Caenorhabditis elegans
elt-3;TF;WBGene00001251;T195703_2.00;unmatched;G5ECF7;;Caenorhabditis elegans
nhr-276;TF;WBGene00013512;T306303_2.00;unmatched;unmatched;;Caenorhabditis elegans
F56D1;TF;WBGene00018959;T131629_2.00;unmatched;unmatched;;Caenorhabditis elegans
pax-2;TF;WBGene00003938;T312108_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-124;TF;WBGene00003714;T306236_2.00;unmatched;unmatched;;Caenorhabditis elegans
F57C9.4;TF;WBGene00019011;T131631_2.00;unmatched;H2KYD3;;Caenorhabditis elegans
nhr-9;TF;WBGene00003608;T306133_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-48;TF;WBGene00015934;T167391_2.00;unmatched;O45080;;Caenorhabditis elegans
nhr-130;TF;WBGene00003720;T306242_2.00;unmatched;unmatched;;Caenorhabditis elegans
let-391;TF;WBGene00006492;T131575_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-203;TF;WBGene00019743;T306360_2.00;unmatched;unmatched;;Caenorhabditis elegans
W02D7.6;TF;WBGene00020942;T131637_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-118;TF;WBGene00003708;T306230_2.00;unmatched;unmatched;;Caenorhabditis elegans
klf-1;TF;WBGene00018990;T131630_2.00;unmatched;Q9TZ64;;Caenorhabditis elegans
nhr-8;TF;WBGene00003607;T306132_2.00;unmatched;unmatched;;Caenorhabditis elegans
F41B5.1;TF;WBGene00023284;T027902_2.00;unmatched;unmatched;;Caenorhabditis elegans
zfh-2;TF;WBGene00022518;T076202_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-206;TF;WBGene00011097;T306282_2.00;unmatched;unmatched;;Caenorhabditis elegans
Y48C3A.12;TF;WBGene00012994;unmatched;unmatched;unmatched;;Caenorhabditis elegans
ref-2;TF;WBGene00004335;T131569_2.00;unmatched;Q94178;;Caenorhabditis elegans
nhr-218;TF;WBGene00011750;T306294_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-5;TF;WBGene00003604;T306129_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-141;TF;WBGene00017787;T306340_2.00;unmatched;unmatched;;Caenorhabditis elegans
hlh-25;TF;WBGene00001964;T046287_2.00;unmatched;unmatched;;Caenorhabditis elegans
Y41C4A.11;TF;WBGene00012757;unmatched;unmatched;unmatched;;Caenorhabditis elegans
nhr-166;TF;WBGene00016772;T306331_2.00;unmatched;unmatched;;Caenorhabditis elegans
dpl-1;TF;WBGene00001061;T173579_2.00;unmatched;Q22703;;Caenorhabditis elegans
ceh-84;TF;WBGene00016557;T224665_2.00;unmatched;unmatched;;Caenorhabditis elegans
T22C8.3;TF;WBGene00011924;T131598_2.00;unmatched;unmatched;;Caenorhabditis elegans
gmeb-2;TF;WBGene00010010;T322111_2.00;unmatched;Q93779;;Caenorhabditis elegans
ceh-18;TF;WBGene00000441;T238866_2.00;unmatched;P41934;;Caenorhabditis elegans
egl-44;TF;WBGene00001208;T346951_2.00;unmatched;unmatched;;Caenorhabditis elegans
B0336.7;TF;WBGene00015147;T349257_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-137;TF;WBGene00003727;T306249_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-83;TF;WBGene00018446;T224670_2.00;unmatched;O16749;;Caenorhabditis elegans
K09A11.1;TF;WBGene00010704;T027897_2.00;unmatched;Q21374;;Caenorhabditis elegans
dmd-9;TF;WBGene00022060;T169440_2.00;unmatched;unmatched;;Caenorhabditis elegans
sdz-12;TF;WBGene00017406;T131624_2.00;unmatched;Q9BLC4;;Caenorhabditis elegans
nhr-173;TF;WBGene00016975;T306335_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-156;TF;WBGene00015897;T306318_2.00;unmatched;unmatched;;Caenorhabditis elegans
efl-1;TF;WBGene00001161;T173580_2.00;unmatched;G5EF11;;Caenorhabditis elegans
lin-11;TF;WBGene00003000;T224631_2.00;unmatched;P20154;;Caenorhabditis elegans
tbx-43;TF;WBGene00044798;T340951_2.00;unmatched;unmatched;;Caenorhabditis elegans
K11D2.4;TF;WBGene00010770;T131591_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-88;TF;WBGene00003678;T306201_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-82;TF;WBGene00003672;T306195_2.00;unmatched;unmatched;;Caenorhabditis elegans
F47E1.3;TF;WBGene00018567;T131628_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-216;TF;WBGene00020385;T306366_2.00;unmatched;unmatched;;Caenorhabditis elegans
ehn-3;TF;WBGene00001223;T131554_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-233;TF;WBGene00006471;T306253_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-282;TF;WBGene00010017;unmatched;unmatched;unmatched;;Caenorhabditis elegans
nhr-287;TF;WBGene00021521;unmatched;unmatched;unmatched;;Caenorhabditis elegans
nhr-226;TF;WBGene00020850;T306373_2.00;unmatched;unmatched;;Caenorhabditis elegans
zip-11;TF;WBGene00021082;T069417_2.00;unmatched;unmatched;;Caenorhabditis elegans
ahr-1;TF;WBGene00000096;T046269_2.00;unmatched;O44712;;Caenorhabditis elegans
cey-3;TF;WBGene00000474;T165222_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-49;TF;WBGene00017538;T167392_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-87;TF;WBGene00003677;T306200_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-46;TF;WBGene00003636;T306160_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-106;TF;WBGene00003696;T306218_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-37;TF;WBGene00000458;T224621_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-192;TF;WBGene00010180;T306272_2.00;unmatched;unmatched;;Caenorhabditis elegans
C08E8.1;TF;WBGene00007437;unmatched;unmatched;unmatched;;Caenorhabditis elegans
nhr-94;TF;WBGene00003684;T306206_2.00;unmatched;unmatched;;Caenorhabditis elegans
F33H1.4;TF;WBGene00009365;T027896_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-101;TF;WBGene00003691;T306213_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-100;TF;WBGene00012584;T224659_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-271;TF;WBGene00011396;T306287_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-17;TF;WBGene00003616;T306141_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-13;TF;WBGene00000437;T224604_2.00;unmatched;P17488;;Caenorhabditis elegans
nhr-21;TF;WBGene00003620;T306145_2.00;unmatched;G5EBL9;;Caenorhabditis elegans
fkh-4;TF;WBGene00001436;T188802_2.00;unmatched;O17617;;Caenorhabditis elegans
sma-9;TF;WBGene00004862;T131573_2.00;unmatched;Q22190;;Caenorhabditis elegans
ets-4;TF;WBGene00017687;T177608_2.00;unmatched;A8WFJ9;;Caenorhabditis elegans
nhr-213;TF;WBGene00011520;T306288_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-136;TF;WBGene00003726;T306248_2.00;unmatched;unmatched;;Caenorhabditis elegans
nfi-1;TF;WBGene00003592;T325230_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-93;TF;WBGene00019864;T224673_2.00;unmatched;unmatched;;Caenorhabditis elegans
med-1;TF;WBGene00003180;T195709_2.00;unmatched;G5EF71;;Caenorhabditis elegans
nhr-182;TF;WBGene00018265;T306343_2.00;unmatched;unmatched;;Caenorhabditis elegans
lin-1;TF;WBGene00002990;T177598_2.00;unmatched;unmatched;;Caenorhabditis elegans
ref-1;TF;WBGene00004334;T046301_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-252;TF;WBGene00022637;T306387_2.00;unmatched;unmatched;;Caenorhabditis elegans
hlh-14;TF;WBGene00001958;T046282_2.00;unmatched;unmatched;;Caenorhabditis elegans
egl-5;TF;WBGene00001174;T224627_2.00;unmatched;P17486;;Caenorhabditis elegans
ceh-1;TF;WBGene00000428;T224596_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-142;TF;WBGene00018430;T306348_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-40;TF;WBGene00000461;T224622_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-19;TF;WBGene00003618;T306143_2.00;unmatched;unmatched;;Caenorhabditis elegans
hinf-1;TF;WBGene00009553;T131583_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-99;TF;WBGene00044032;T224679_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-262;TF;WBGene00008619;T306265_2.00;unmatched;unmatched;;Caenorhabditis elegans
hlh-6;TF;WBGene00001952;T046276_2.00;unmatched;Q10007;;Caenorhabditis elegans
fkh-5;TF;WBGene00001437;T188803_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-268;TF;WBGene00010601;T306277_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-64;TF;WBGene00003654;T306178_2.00;unmatched;unmatched;;Caenorhabditis elegans
pop-1;TF;WBGene00004077;T333272_2.00;unmatched;Q10666;;Caenorhabditis elegans
svh-5;TF;WBGene00006462;T177599_2.00;unmatched;unmatched;;Caenorhabditis elegans
mls-1;TF;WBGene00003376;T340931_2.00;unmatched;unmatched;;Caenorhabditis elegans
Y50E8A.12;TF;WBGene00013055;T349256_2.00;unmatched;unmatched;;Caenorhabditis elegans
pha-2;TF;WBGene00004011;T224638_2.00;unmatched;Q21578;;Caenorhabditis elegans
dmd-5;TF;WBGene00017326;T169437_2.00;unmatched;unmatched;;Caenorhabditis elegans
spr-1;TF;WBGene00005006;unmatched;unmatched;Q18919;;Caenorhabditis elegans
nhr-51;TF;WBGene00003641;T306165_2.00;unmatched;unmatched;;Caenorhabditis elegans
mef-2;TF;WBGene00003182;T256826_2.00;unmatched;Q9U325;;Caenorhabditis elegans
elt-6;TF;WBGene00001253;T195705_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-115;TF;WBGene00003705;T306227_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-208;TF;WBGene00011099;T306284_2.00;unmatched;unmatched;;Caenorhabditis elegans
sex-1;TF;WBGene00004786;T306252_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-33;TF;WBGene00000454;T224618_2.00;unmatched;unmatched;;Caenorhabditis elegans
mdl-1;TF;WBGene00003163;T046295_2.00;unmatched;G5EG44;;Caenorhabditis elegans
tbx-36;TF;WBGene00006555;T340944_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-42;TF;WBGene00003632;T306156_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-168;TF;WBGene00008221;T306261_2.00;unmatched;unmatched;;Caenorhabditis elegans
ctbp-1;TF;WBGene00006424;T349255_2.00;unmatched;unmatched;;Caenorhabditis elegans
gmeb-3;TF;WBGene00008092;T322110_2.00;unmatched;unmatched;;Caenorhabditis elegans
irx-1;TF;WBGene00007984;T224653_2.00;unmatched;Q93348;;Caenorhabditis elegans
pal-1;TF;WBGene00003912;T224637_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-188;TF;WBGene00018544;T306352_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-158;TF;WBGene00015901;T306320_2.00;unmatched;unmatched;;Caenorhabditis elegans
